i_,i0_,name,mult,inchi,path
710,610,C5H9OA-DOOH-C,1,"InChI=1S/C5H10O3/c1-4-2-7-3-5(4)8-6/h4-6H,2-3H2,1H3/t4-,5+/m0/s1",
711,611,C5H9OB-COOH-A,1,"InChI=1S/C5H10O3/c1-4-5(2,8-4)3-7-6/h4,6H,3H2,1-2H3/t4-,5-/m0/s1",
712,611,C5H9OB-COOH-A,1,"InChI=1S/C5H10O3/c1-4-5(2,8-4)3-7-6/h4,6H,3H2,1-2H3/t4-,5+/m0/s1",
713,612,C5H9OB-COOH-D,1,"InChI=1S/C5H10O3/c1-5(2)4(8-5)3-7-6/h4,6H,3H2,1-2H3/t4-/m0/s1",
714,613,C5H9OB-DOOH-A,1,"InChI=1S/C5H10O3/c1-5(4-8-6)2-3-7-5/h6H,2-4H2,1H3/t5-/m0/s1",
715,614,C5H9OB-DOOH-C,1,"InChI=1S/C5H10O3/c1-5(2)4(8-6)3-7-5/h4,6H,3H2,1-2H3/t4-/m0/s1",
716,615,C5H9OC-DOOH-A,1,"InChI=1S/C5H10O3/c1-4(2-8-6)5-3-7-5/h4-6H,2-3H2,1H3/t4-,5-/m0/s1",
717,615,C5H9OC-DOOH-A,1,"InChI=1S/C5H10O3/c1-4(2-8-6)5-3-7-5/h4-6H,2-3H2,1H3/t4-,5+/m0/s1",
718,616,C5H9OC-DOOH-B,1,"InChI=1S/C5H10O3/c1-5(2,8-6)4-3-7-4/h4,6H,3H2,1-2H3/t4-/m0/s1",
719,617,CH3COCH2OCH2CH2,2,"InChI=1S/C5H9O2/c1-3-7-4-5(2)6/h1,3-4H2,2H3",
720,618,IC5KETAA,1,"InChI=1S/C5H10O3/c1-2-5(3-6)4-8-7/h3,5,7H,2,4H2,1H3/t5-/m0/s1",
721,619,IC5KETAB,1,"InChI=1S/C5H10O3/c1-3-5(2,4-6)8-7/h4,7H,3H2,1-2H3/t5-/m0/s1",
722,620,IC5KETAC,1,"InChI=1S/C5H10O3/c1-4(3-6)5(2)8-7/h3-5,7H,1-2H3/t4-,5-/m0/s1",
723,620,IC5KETAC,1,"InChI=1S/C5H10O3/c1-4(3-6)5(2)8-7/h3-5,7H,1-2H3/t4-,5+/m0/s1",
724,621,IC5KETAD,1,"InChI=1S/C5H10O3/c1-5(4-6)2-3-8-7/h4-5,7H,2-3H2,1H3/t5-/m0/s1",
725,622,IC5KETCA,1,"InChI=1S/C5H10O3/c1-4(3-8-7)5(2)6/h4,7H,3H2,1-2H3/t4-/m0/s1",
726,623,IC5KETCB,1,"InChI=1S/C5H10O3/c1-4(6)5(2,3)8-7/h7H,1-3H3",
727,624,IC5KETCD,1,"InChI=1S/C5H10O3/c1-4(2)5(6)3-8-7/h4,7H,3H2,1-2H3",
728,625,IC5KETDA,1,"InChI=1S/C5H10O3/c1-5(2-3-6)4-8-7/h3,5,7H,2,4H2,1H3/t5-/m0/s1",
729,626,IC5KETDB,1,"InChI=1S/C5H10O3/c1-5(2,8-7)3-4-6/h4,7H,3H2,1-2H3",
730,627,IC5KETDC,1,"InChI=1S/C5H10O3/c1-4(2)5(3-6)8-7/h3-5,7H,1-2H3/t5-/m0/s1",
731,628,IC5KETAAO,2,"InChI=1S/C5H9O2/c1-2-5(3-6)4-7/h3,5H,2,4H2,1H3/t5-/m0/s1",
732,629,IC5KETABO,2,"InChI=1S/C5H9O2/c1-3-5(2,7)4-6/h4H,3H2,1-2H3/t5-/m0/s1",
733,630,IC5KETACO,2,"InChI=1S/C5H9O2/c1-4(3-6)5(2)7/h3-5H,1-2H3/t4-,5-/m0/s1",
734,630,IC5KETACO,2,"InChI=1S/C5H9O2/c1-4(3-6)5(2)7/h3-5H,1-2H3/t4-,5+/m0/s1",
735,631,IC5KETADO,2,"InChI=1S/C5H9O2/c1-5(4-7)2-3-6/h4-5H,2-3H2,1H3/t5-/m0/s1",
736,632,IC5KETCAO,2,"InChI=1S/C5H9O2/c1-4(3-6)5(2)7/h4H,3H2,1-2H3/t4-/m0/s1",
737,633,IC5KETCBO,2,"InChI=1S/C5H9O2/c1-4(6)5(2,3)7/h1-3H3",
738,634,IC5KETCDO,2,"InChI=1S/C5H9O2/c1-4(2)5(7)3-6/h4H,3H2,1-2H3",
739,635,IC5KETDAO,2,"InChI=1S/C5H9O2/c1-5(4-7)2-3-6/h3,5H,2,4H2,1H3/t5-/m0/s1",
